Day,OldTestament,NewTestament,Wisdom
1,Génesis 1-3,Mateo 1,Salmos 1
2,Génesis 4-5,Mateo 2,
3,Génesis 6-7,Mateo 3,Salmos 2
4,Génesis 8-9,,
5,Génesis 10-11,Mateo 4,Salmos 3
6,Génesis 12-13,Mateo 5,
7,Génesis 14-15,,Salmos 4
8,Génesis 16-17,Mateo 6,
9,Génesis 18-19,Mateo 7,Salmos 5
10,Génesis 20-21,Mateo 8,
11,Génesis 22-23,,Salmos 6
12,Génesis 24-25,Mateo 9,
13,Génesis 26-27,Mateo 10,Salmos 7
14,Génesis 28-29,,
15,Génesis 30-31,Mateo 11,Salmos 8
16,Génesis 32-33,Mateo 12,
17,Génesis 34-35,Mateo 13,Salmos 9
18,Génesis 36-37,,
19,Génesis 38-39,Mateo 14,Salmos 10
20,Génesis 40-41,Mateo 15,
21,Génesis 42-44,,Salmos 11
22,Génesis 45-46,Mateo 16,
23,Génesis 47-48,Mateo 17,Salmos 12
24,Génesis 49-50,Mateo 18,
25,Éxodo 1-2,,Salmos 13
26,Éxodo 3-4,Mateo 19,
27,Éxodo 5-6,Mateo 20,Salmos 14
28,Éxodo 7-8,,
29,Éxodo 9-10,Mateo 21,Salmos 15
30,Éxodo 11-12,Mateo 22,
31,Éxodo 13-14,Mateo 23,Salmos 16
32,Éxodo 15-16,,
33,Éxodo 17-18,Mateo 24,Salmos 17
34,Éxodo 19-20,Mateo 25,
35,Éxodo 21-22,,Salmos 18
36,Éxodo 23-24,Mateo 26,
37,Éxodo 25-26,Mateo 27,Salmos 19
38,Éxodo 27-28,Mateo 28,
39,Éxodo 29-30,,Salmos 20
40,Éxodo 31-32,Marcos 1,
41,Éxodo 33-35,Marcos 2,Salmos 21
42,Éxodo 36-37,,
43,Éxodo 38-39,Marcos 3,Salmos 22
44,Éxodo 40; Levítico 1,Marcos 4,
45,Levítico 2-3,Marcos 5,Salmos 23
46,Levítico 4-5,,
47,Levítico 6-7,Marcos 6,Salmos 24
48,Levítico 8-9,Marcos 7,
49,Levítico 10-11,,Salmos 25
50,Levítico 12-13,Marcos 8,
51,Levítico 14-15,Marcos 9,Salmos 26
52,Levítico 16-17,Marcos 10,
53,Levítico 18-19,,Salmos 27
54,Levítico 20-21,Marcos 11,
55,Levítico 22-23,Marcos 12,Salmos 28
56,Levítico 24-25,,
57,Levítico 26-27,Marcos 13,Salmos 29
58,Números 1-2,Marcos 14,
59,Números 3-4,Marcos 15,Salmos 30
60,Números 5-6,,
61,Números 7-9,Marcos 16,Salmos 31
62,Números 10-11,Lucas 1,
63,Números 12-13,,Salmos 32
64,Números 14-15,Lucas 2,
65,Números 16-17,Lucas 3,Salmos 33
66,Números 18-19,Lucas 4,
67,Números 20-21,,Salmos 34
68,Números 22-23,Lucas 5,
69,Números 24-25,Lucas 6,Salmos 35
70,Números 26-27,,
71,Números 28-29,Lucas 7,Salmos 36
72,Números 30-31,Lucas 8,
73,Números 32-33,,Salmos 37
74,Números 34-35,Lucas 9,
75,Números 36; Deuteronomio 1,Lucas 10,Salmos 38
76,Deuteronomio 2-3,Lucas 11,
77,Deuteronomio 4-5,,Salmos 39
78,Deuteronomio 6-7,Lucas 12,
79,Deuteronomio 8-9,Lucas 13,Salmos 40
80,Deuteronomio 10-11,,
81,Deuteronomio 12-13,Lucas 14,Salmos 41
82,Deuteronomio 14-16,Lucas 15,
83,Deuteronomio 17-18,Lucas 16,Salmos 42
84,Deuteronomio 19-20,,
85,Deuteronomio 21-22,Lucas 17,Salmos 43
86,Deuteronomio 23-24,Lucas 18,
87,Deuteronomio 25-26,,Salmos 44
88,Deuteronomio 27-28,Lucas 19,
89,Deuteronomio 29-30,Lucas 20,Salmos 45
90,Deuteronomio 31-32,Lucas 21,
91,Deuteronomio 33-34,,Salmos 46
92,Josué 1-2,Lucas 22,
93,Josué 3-4,Lucas 23,Salmos 47
94,Josué 5-6,,
95,Josué 7-8,Lucas 24,Salmos 48
96,Josué 9-10,Juan 1,
