"Day","OldTestament","NewTestament","Wisdom"
"1","Genesis 1-3","Matthew 1","Psalms 1"
"2","Genesis 4-5","Matthew 2",""
"3","Genesis 6-7","Matthew 3","Psalms 2"
"4","Genesis 8-9","",""
"5","Genesis 10-11","Matthew 4","Psalms 3"
"6","Genesis 12-13","Matthew 5",""
"7","Genesis 14-15","","Psalms 4"
"8","Genesis 16-17","Matthew 6",""
"9","Genesis 18-19","Matthew 7","Psalms 5"
"10","Genesis 20-21","Matthew 8",""
"11","Genesis 22-23","","Psalms 6"
"12","Genesis 24-25","Matthew 9",""
"13","Genesis 26-27","Matthew 10","Psalms 7"
"14","Genesis 28-29","",""
"15","Genesis 30-31","Matthew 11","Psalms 8"
"16","Genesis 32-33","Matthew 12",""
"17","Genesis 34-35","Matthew 13","Psalms 9"
"18","Genesis 36-37","",""
"19","Genesis 38-39","Matthew 14","Psalms 10"
"20","Genesis 40-41","Matthew 15",""
"21","Genesis 42-44","","Psalms 11"
"22","Genesis 45-46","Matthew 16",""
"23","Genesis 47-48","Matthew 17","Psalms 12"
"24","Genesis 49-50","Matthew 18",""
"25","Exodus 1-2","","Psalms 13"
"26","Exodus 3-4","Matthew 19",""
"27","Exodus 5-6","Matthew 20","Psalms 14"
"28","Exodus 7-8","",""
"29","Exodus 9-10","Matthew 21","Psalms 15"
"30","Exodus 11-12","Matthew 22",""
"31","Exodus 13-14","Matthew 23","Psalms 16"
"32","Exodus 15-16","",""
"33","Exodus 17-18","Matthew 24","Psalms 17"
"34","Exodus 19-20","Matthew 25",""
"35","Exodus 21-22","","Psalms 18"
"36","Exodus 23-24","Matthew 26",""
"37","Exodus 25-26","Matthew 27","Psalms 19"
"38","Exodus 27-28","Matthew 28",""
"39","Exodus 29-30","","Psalms 20"
"40","Exodus 31-32","Mark 1",""
"41","Exodus 33-35","Mark 2","Psalms 21"
"42","Exodus 36-37","",""
"43","Exodus 38-39","Mark 3","Psalms 22"
"44","Exodus 40; Leviticus 1","Mark 4",""
"45","Leviticus 2-3","Mark 5","Psalms 23"
"46","Leviticus 4-5","",""
"47","Leviticus 6-7","Mark 6","Psalms 24"
"48","Leviticus 8-9","Mark 7",""
"49","Leviticus 10-11","","Psalms 25"
"50","Leviticus 12-13","Mark 8",""
"51","Leviticus 14-15","Mark 9","Psalms 26"
"52","Leviticus 16-17","Mark 10",""
"53","Leviticus 18-19","","Psalms 27"
"54","Leviticus 20-21","Mark 11",""
"55","Leviticus 22-23","Mark 12","Psalms 28"
"56","Leviticus 24-25","",""
"57","Leviticus 26-27","Mark 13","Psalms 29"
"58","Numbers 1-2","Mark 14",""
"59","Numbers 3-4","Mark 15","Psalms 30"
"60","Numbers 5-6","",""
"61","Numbers 7-9","Mark 16","Psalms 31"
"62","Numbers 10-11","Luke 1",""
"63","Numbers 12-13","","Psalms 32"
"64","Numbers 14-15","Luke 2",""
"65","Numbers 16-17","Luke 3","Psalms 33"
"66","Numbers 18-19","Luke 4",""
"67","Numbers 20-21","","Psalms 34"
"68","Numbers 22-23","Luke 5",""
"69","Numbers 24-25","Luke 6","Psalms 35"
"70","Numbers 26-27","",""
"71","Numbers 28-29","Luke 7","Psalms 36"
"72","Numbers 30-31","Luke 8",""
"73","Numbers 32-33","","Psalms 37"
"74","Numbers 34-35","Luke 9",""
"75","Numbers 36; Deuteronomy 1","Luke 10","Psalms 38"
"76","Deuteronomy 2-3","Luke 11",""
"77","Deuteronomy 4-5","","Psalms 39"
"78","Deuteronomy 6-7","Luke 12",""
"79","Deuteronomy 8-9","Luke 13","Psalms 40"
"80","Deuteronomy 10-11","",""
"81","Deuteronomy 12-13","Luke 14","Psalms 41"
"82","Deuteronomy 14-16","Luke 15",""
"83","Deuteronomy 17-18","Luke 16","Psalms 42"
"84","Deuteronomy 19-20","",""
"85","Deuteronomy 21-22","Luke 17","Psalms 43"
"86","Deuteronomy 23-24","Luke 18",""
"87","Deuteronomy 25-26","","Psalms 44"
"88","Deuteronomy 27-28","Luke 19",""
"89","Deuteronomy 29-30","Luke 20","Psalms 45"
"90","Deuteronomy 31-32","Luke 21",""
"91","Deuteronomy 33-34","","Psalms 46"
"92","Joshua 1-2","Luke 22",""
"93","Joshua 3-4","Luke 23","Psalms 47"
"94","Joshua 5-6","",""
"95","Joshua 7-8","Luke 24","Psalms 48"
"96","Joshua 9-10","John 1",""
"97","Joshua 11-12","John 2","Psalms 49"
"98","Joshua 13-14","",""
"99","Joshua 15-16","John 3","Psalms 50"
"100","Joshua 17-18","John 4",""
"101","Joshua 19-20","","Psalms 51"
"102","Joshua 21-23","John 5",""
"103","Joshua 24; Judges 1","John 6","Psalms 52"
"104","Judges 2-3","John 7",""
"105","Judges 4-5","","Psalms 53"
"106","Judges 6-7","John 8",""
"107","Judges 8-9","John 9","Psalms 54"
"108","Judges 10-11","",""
"109","Judges 12-13","John 10","Psalms 55"
"110","Judges 14-15","John 11",""
"111","Judges 16-17","John 12","Psalms 56"
"112","Judges 18-19","",""
"113","Judges 20-21","John 13","Psalms 57"
"114","Ruth 1-2","John 14",""
"115","Ruth 3-4","","Psalms 58"
"116","1 Samuel 1-2","John 15",""
"117","1 Samuel 3-4","John 16","Psalms 59"
"118","1 Samuel 5-6","John 17",""
"119","1 Samuel 7-8","","Psalms 60"
"120","1 Samuel 9-10","John 18",""
"121","1 Samuel 11-12","John 19","Psalms 61"
"122","1 Samuel 13-15","",""
"123","1 Samuel 16-17","John 20",""
"124","1 Samuel 18-19","John 21","Psalms 62"
"125","1 Samuel 20-21","Acts 1",""
"126","1 Samuel 22-23","","Psalms 63"
"127","1 Samuel 24-25","Acts 2",""
"128","1 Samuel 26-27","Acts 3","Psalms 64"
"129","1 Samuel 28-29","",""
"130","1 Samuel 30-31","Acts 4","Psalms 65"
"131","2 Samuel 1-2","Acts 5",""
"132","2 Samuel 3-4","Acts 6","Psalms 66"
"133","2 Samuel 5-6","",""
"134","2 Samuel 7-8","Acts 7","Psalms 67"
"135","2 Samuel 9-10","Acts 8",""
"136","2 Samuel 11-12","","Psalms 68"
"137","2 Samuel 13-14","Acts 9",""
"138","2 Samuel 15-16","Acts 10","Psalms 69"
"139","2 Samuel 17-18","Acts 11",""
"140","2 Samuel 19-20","","Psalms 70"
"141","2 Samuel 21-22","Acts 12",""
"142","2 Samuel 23-24; 1 Kings 1","Acts 13","Psalms 71"
"143","1 Kings 2-3","",""
"144","1 Kings 4-5","Acts 14","Psalms 72"
"145","1 Kings 6-7","Acts 15",""
"146","1 Kings 8-9","","Psalms 73"
"147","1 Kings 10-11","Acts 16",""
"148","1 Kings 12-13","Acts 17","Psalms 74"
"149","1 Kings 14-15","Acts 18",""
"150","1 Kings 16-17","","Psalms 75"
"151","1 Kings 18-19","Acts 19",""
"152","1 Kings 20-21","Acts 20","Psalms 76"
"153","1 Kings 22; 2 Kings 1","",""
"154","2 Kings 2-3","Acts 21","Psalms 77"
"155","2 Kings 4-5","Acts 22",""
"156","2 Kings 6-7","Acts 23","Psalms 78"
"157","2 Kings 8-9","",""
"158","2 Kings 10-11","Acts 24","Psalms 79"
"159","2 Kings 12-13","Acts 25",""
"160","2 Kings 14-15","","Psalms 80"
"161","2 Kings 16-17","Acts 26",""
"162","2 Kings 18-19","Acts 27","Psalms 81"
"163","2 Kings 20-22","Acts 28",""
"164","2 Kings 23-24","","Psalms 82"
"165","2 Kings 25; 1 Chronicles 1","Romans 1",""
"166","1 Chronicles 2-3","Romans 2","Psalms 83"
"167","1 Chronicles 4-5","",""
"168","1 Chronicles 6-7","Romans 3","Psalms 84"
"169","1 Chronicles 8-9","Romans 4",""
"170","1 Chronicles 10-11","Romans 5","Psalms 85"
"171","1 Chronicles 12-13","",""
